domain,stage,cohort,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,seed_46,seed_47,mean,min,max,is_terminal,is_complete_12
Graph coloring,A,gce71,grpo,greedy,0,0,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0,1
Graph coloring,A,gce71,grpo,mean8,0,0,0.19921875,0.19921875,0.1728515625,0.1728515625,0.1728515625,0.1833984375,0.1728515625,0.19921875,0,1
Graph coloring,A,gce71,grpo,pass8,0,0,0.537109375,0.537109375,0.435546875,0.435546875,0.435546875,0.476171875,0.435546875,0.537109375,0,1
Graph coloring,A,gce71,grpo,distinct8,0,0,0.712890625,0.712890625,0.5234375,0.5234375,0.5234375,0.59921875,0.5234375,0.712890625,0,1
Graph coloring,A,gce71,grpo,greedy,3,1152,0.3125,0.3125,0.3125,0.3125,0.265625,0.303125,0.265625,0.3125,0,1
Graph coloring,A,gce71,grpo,mean8,3,1152,0.313720703125,0.31494140625,0.309326171875,0.31494140625,0.280517578125,0.306689453125,0.280517578125,0.31494140625,0,1
Graph coloring,A,gce71,grpo,pass8,3,1152,0.359375,0.328125,0.5078125,0.3203125,0.578125,0.41875,0.3203125,0.578125,0,1
Graph coloring,A,gce71,grpo,distinct8,3,1152,0.359375,0.328125,0.59375,0.3203125,0.65625,0.4515625,0.3203125,0.65625,0,1
Graph coloring,A,gce71,grpo,greedy,6,2304,0.3125,0.3203125,0.3125,0.3125,0.3515625,0.321875,0.3125,0.3515625,0,1
Graph coloring,A,gce71,grpo,mean8,6,2304,0.3134765625,0.318115234375,0.31591796875,0.31494140625,0.3515625,0.322802734375,0.3134765625,0.3515625,0,1
Graph coloring,A,gce71,grpo,pass8,6,2304,0.3203125,0.3203125,0.5078125,0.3203125,0.3515625,0.3640625,0.3203125,0.5078125,0,1
Graph coloring,A,gce71,grpo,distinct8,6,2304,0.3203125,0.3203125,0.5859375,0.3203125,0.3515625,0.3796875,0.3203125,0.5859375,0,1
Graph coloring,A,gce71,grpo,greedy,9,3456,0.3125,0.3203125,0.3203125,0.3125,0.3515625,0.3234375,0.3125,0.3515625,0,1
Graph coloring,A,gce71,grpo,mean8,9,3456,0.31494140625,0.318115234375,0.317138671875,0.31494140625,0.3515625,0.32333984375,0.31494140625,0.3515625,0,1
Graph coloring,A,gce71,grpo,pass8,9,3456,0.3203125,0.3203125,0.3203125,0.3203125,0.3515625,0.3265625,0.3203125,0.3515625,0,1
Graph coloring,A,gce71,grpo,distinct8,9,3456,0.3203125,0.3203125,0.3203125,0.3203125,0.3515625,0.3265625,0.3203125,0.3515625,0,1
Graph coloring,A,gce71,grpo,greedy,12,4608,0.3125,0.3203125,0.3203125,0.3125,0.3515625,0.3234375,0.3125,0.3515625,1,1
Graph coloring,A,gce71,grpo,mean8,12,4608,0.3125,0.315673828125,0.317138671875,0.31494140625,0.3515625,0.32236328125,0.3125,0.3515625,1,1
Graph coloring,A,gce71,grpo,pass8,12,4608,0.3125,0.3203125,0.3203125,0.3203125,0.3515625,0.325,0.3125,0.3515625,1,1
Graph coloring,A,gce71,grpo,distinct8,12,4608,0.3125,0.3203125,0.3203125,0.3203125,0.3515625,0.325,0.3125,0.3515625,1,1
